id,episode_number,Title,season_number,season_title
1138,1139,Galar Fossils! Stick 'em Together!!,24,Master Journeys
1139,1140,The Great Farfetch'd Trial!,24,Master Journeys
1140,1141,Hands-On Agriculture Studies! Where is Diglett?!,24,Master Journeys
1141,1142,"Getting a Legend?! Search for Suicune, the Guardian Deity of Water!!",24,Master Journeys
1142,1143,Sobble In Possible!!,24,Master Journeys
1143,1144,The Tale of You and Me in Glimwood Tangle!,24,Master Journeys
1144,1145,Elite Four Wikstrom! The House of Chivalry,24,Master Journeys
1145,1146,Love is a Psyduck!,24,Master Journeys
1146,1147,"Panic! The Gulpin Ball!!
Come On, Chewtle Turtle Race",24,Master Journeys
1147,1148,The Lost Grookey! Who is its Trainer!?,24,Master Journeys
1148,1149,"Aim to Become Leek Master! Stay With Me, Chivalry!!",24,Master Journeys
1149,1150,Leave Everything To Us! The Plusle and Minun Handymen!,24,Master Journeys
1150,1151,Woebegone Drizzile!,24,Master Journeys
1151,1152,Challenge! The Pokémon Water Obstacle Course!!,24,Master Journeys
1152,1153,The Detested Absol!!,24,Master Journeys
1153,1154,Dragon Battle! Ash VS Iris!!,24,Master Journeys
1154,1155,Flabébé's White Flower!!,24,Master Journeys
1155,1156,Pikachu the Suspect,24,Master Journeys
1156,1157,Rivals for Goh?! The Road to Mew!!,24,Master Journeys
1157,1158,I'd Like To Keep An Eye On Their First Errand!,24,Master Journeys
1158,1159,Please Get Morpeko!!,24,Master Journeys
1159,1160,Let's Go! Project Mew!!,24,Master Journeys
1160,1161,Shuffle Panic in the Underground Labyrinth?!,24,Master Journeys
1161,1162,"Commander Pikachu! Head Forth, Falinks!!",24,Master Journeys
1162,1163,Darkrai's Midsummer Night's Dream,24,Master Journeys
1163,1164,Cresselia's Midsummer Night's Light,24,Master Journeys
1164,1165,Fully Powered! The Alola Desert Island Race!!,24,Master Journeys
1165,1166,A Super-Electromagnetic Hyper Class Battle!,24,Master Journeys
1166,1167,The Cerise Laboratories Become a Target!!,24,Master Journeys
1167,1168,The Moon and the Sun; Chloe and Haruhi,24,Master Journeys
1168,1169,Trial Mission! Volcarona's Golden Scales!!,24,Master Journeys
1169,1170,A Clash?! BluePokémaniacs!,24,Master Journeys
1170,1171,Alcremie's Super Sweet Battle?!,24,Master Journeys
1171,1172,The Cleffa That Became A Star,24,Master Journeys
1172,1173,The Lucarionite! Adventure on Mega Island!!,24,Master Journeys
1173,1174,Rival Showdown! Ash VS Bea!!,24,Master Journeys
1174,1175,Mega Evolution VS Gigantamax!,24,Master Journeys
1175,1176,The Ice Queen and Glaceon,24,Master Journeys
1176,1177,Trial Mission! The Deep Sea Diver Research Team!!,24,Master Journeys
1177,1178,Dialga & Palkia! The Space-time Cataclysm!!,24,Master Journeys
1178,1179,Dialga & Palkia! The Decisive Space-time Battle!!,24,Master Journeys
1179,1180,The Ghost Train Departs...,25,Ultimate Journeys
1180,1181,Gengar Does Its Best! The Road to Gigantamax!!,25,Ultimate Journeys
1181,1182,Your Name is Francois,25,Ultimate Journeys
1182,1183,The Heracross Loss and the Pinsir in Love,25,Ultimate Journeys
1183,1184,Farewell! The Wandering Team Rocket,25,Ultimate Journeys
1184,1185,Reach Space! Ampharos' Light,25,Ultimate Journeys
1185,1186,Slowking! A Curry-zy Beautiful Encounter!!,25,Ultimate Journeys
1186,1187,The Pokémon Circus! Flareon and Jolteon,25,Ultimate Journeys
1187,1188,Marnie from Spikemuth,25,Ultimate Journeys
1188,1189,A Full Coverage of Leon's Special Training!!,25,Ultimate Journeys
1189,1190,The Thwackey with One Stick!,25,Ultimate Journeys
1190,1191,Trial Mission: A Frozen Raid Battle!!,25,Ultimate Journeys
1191,1192,Ash & Clemont! Special Friendship Training!!,25,Ultimate Journeys
1192,1193,Ultra Class! VS Elite Four Drasna!,25,Ultimate Journeys
1193,1194,Eevee and Sylveon! Encounters and Reunions!!,25,Ultimate Journeys
1194,1195,A New Show! The Team Rocket Undercover Kingdom Radio!!,25,Ultimate Journeys
1195,1196,"Help Us, Big Bro Yamper!",25,Ultimate Journeys
1196,1197,Lucario & Greninja! The Aura of Fate!!,25,Ultimate Journeys
1197,1198,VS Raihan! A Fight with Masters Eight on the Line!!,25,Ultimate Journeys
1198,1199,The Traitorous Battle Royal!,25,Ultimate Journeys
1199,1200,Mohn and Lillie: A Reunion on the Tundra!,25,Ultimate Journeys
1200,1201,A Triumphant Return! The Alola Champion!!,25,Ultimate Journeys
1201,1202,Last Mission! Get Regielki & Regidrago!!,25,Ultimate Journeys
1202,1203,Fire Training Battle! Ash VS Paul!!,25,Ultimate Journeys
1203,1204,The Curtain Rises! The Masters Tournament!!,25,Ultimate Journeys
1204,1205,Champions' Pride! Lance VS Diantha!!,25,Ultimate Journeys
1205,1206,VS Cynthia! Iris' Road to Dragon Master,25,Ultimate Journeys
1206,1207,Ash Heads Into Battle! VS Steven!!,25,Ultimate Journeys
1207,1208,Chloe and Eevee and the EV-io-lite Primer!,25,Ultimate Journeys
1208,1209,The Possibilities are Endless for Chloe and Eevee!,25,Ultimate Journeys
1209,1210,The Climax Begins: Ash's Masters Tournament Experience,25,Ultimate Journeys
1210,1211,The Semifinals I: Sweep,25,Ultimate Journeys
1211,1212,The Semifinals II: Dazzle,25,Ultimate Journeys
1212,1213,The Semifinals III: Valor,25,Ultimate Journeys
1213,1214,The Semifinals IV: Impact,25,Ultimate Journeys
1214,1215,Go for Dream! Goh's Road to Mew!!,25,Ultimate Journeys
1215,1216,Goh and Cinderace! The Place Where It All Began!!,25,Ultimate Journeys
1216,1217,Climax! The Night Before the Decisive Match: Ash VS Leon!!,25,Ultimate Journeys
1217,1218,The Finals I: Torrent,25,Ultimate Journeys
1218,1219,The Finals II: Toying,25,Ultimate Journeys
1219,1220,The Finals III: Strongest,25,Ultimate Journeys
1220,1221,The Finals IV: Partner,25,Ultimate Journeys
1221,1222,Project Mew,25,Ultimate Journeys
1222,1223,The Future I Seize!,25,Ultimate Journeys
1223,1224,Pokémon! I Am Glad I Got To Meet You,25,Ultimate Journeys
1224,1225,Ash and Goh! Setting Off Anew!!,25,Ultimate Journeys
1225,1226,The Wind of Beginnings! The Eon Path!!,25,Ultimate Journeys
1226,1227,Ash VS Misty! A One-on-One on the Beach!!,25,Ultimate Journeys
1227,1228,"Brock, Cilan and the Forest Witch!",25,Ultimate Journeys
1228,1229,Beartic's Sigh!,25,Ultimate Journeys
1229,1230,Enter the Squirtle Fire Brigade!,25,Ultimate Journeys
1230,1231,And We're Looking at the Same Moon!,25,Ultimate Journeys
1231,1232,Riding on Lapras!,25,Ultimate Journeys
1232,1233,What Banette Is Looking For!,25,Ultimate Journeys
1233,1234,Team Rocket's Counterattack!,25,Ultimate Journeys
1234,1235,Ash & Latios!,25,Ultimate Journeys
1235,1236,The Rainbow and the Pokémon Master!,25,Ultimate Journeys
1236,1,The Pendant It All Started With! (Part 1),1,Indigo League
1237,2,The Pendant It All Started With! (Part 2),1,Indigo League
1238,3,As Long As I'm With Sprigatito...,1,Indigo League
1239,4,The Treasure That Washed Ashore,1,Indigo League
1240,5,"I Found You, Fuecoco",1,Indigo League
1241,6,The Ancient Poké Ball,1,Indigo League
1242,7,Training! Captain Pikachu,1,Indigo League
1243,8,The Secret Behind the Off-Limits Door,1,Indigo League
1244,9,Arrival in Paldea!,1,Indigo League
1245,10,Nemona & Brassius,1,Indigo League
1246,11,The Arboliva's Forest,1,Indigo League
1247,12,The Future I Choose,1,Indigo League
1248,13,A Sudden Picnic,1,Indigo League
1249,14,"Fly, Wattrel",1,Indigo League
1250,15,Someone We Can't See! Whosawhatsit?,1,Indigo League
1251,16,As Long As I'm With Quaxly...,1,Indigo League
1252,17,Wattrel & Fuecoco: Secret Training,1,Indigo League
1253,18,The Sky Is The Limit For Flying Pikachu!,1,Indigo League
1254,19,The Truth About Alcremie,1,Indigo League
1255,20,Kabu's Battle Training,1,Indigo League
1256,21,A Hatenna All Alone,1,Indigo League
1257,22,Clash! The Galar Mine,1,Indigo League
1258,23,Galarian Moltres Blazes Up,1,Indigo League
1259,24,Reunion at the Old Castle,1,Indigo League
1260,25,Rivals in the Moonless Night,1,Indigo League
1261,26,Terapagos' Adventure,1,Indigo League
1262,27,As Long As I'm With My Companions,1,Indigo League
1263,28,The Stolen Treasure,1,Indigo League
1264,29,Orla & The Poké Ball Craftsman,1,Indigo League
1265,30,The Mystery Pokémon Behind the Slipping and Clanging?!,1,Indigo League
1266,31,The Song in the Mist,1,Indigo League
1267,32,Lapras' Thoughts for its Companions,1,Indigo League
1268,34,The Roaring Black Rayquaza,1,Indigo League
1269,34,Respective Departures,1,Indigo League
1270,35,A Duo in the Wilderness: Friede and Cap,1,Indigo League
1271,36,Operation: Oinkologne Friendship!,1,Indigo League
1272,37,Fuecoco Becomes a Bad Boy?!,1,Indigo League
1273,38,The SOS Comes from Tandemaus?,1,Indigo League
1274,39,Tinkatink and its Choice Hammer,1,Indigo League
1275,40,"Farewell, Sprigatito",1,Indigo League
1276,41,Enter the Intense Mom!,1,Indigo League
1277,42,"Transform! Palafin, the Hero of the Ocean!",1,Indigo League
1278,43,A Letter of Challenge from the Explorers,1,Indigo League
1279,44,The Plan for Capturing Rayquaza,1,Indigo League
1280,45,To A Place Far Far Away,1,Indigo League
1281,46,How Thrilling! Naranja Academy,1,Indigo League
1282,47,"Liko and Floragato, Put All Your Heart Into It",1,Indigo League
1283,48,Shine! The Glimmer of Fire and Art,1,Indigo League
1284,49,Dot & Nidothing,1,Indigo League
1285,50,Terastallize for Social Media! Dance Dance Quaxly!!,1,Indigo League
1286,51,A Prickly Floragato?! The Mysterious Flower Pillar,1,Indigo League
1287,52,Storm Warning for Wattrell!,1,Indigo League
1288,53,Hatenna and the Unworldly!,1,Indigo League
1289,54,The Eternal Blessing!,1,Indigo League
1290,55,Showdown! The Paldea Elite Four!,1,Indigo League
1291,56,Liko VS Rika! Beyond the Battle,1,Indigo League
1292,57,A Terapagos I Don't Know,1,Indigo League
1293,58,The Mascot Pokémon is Kingambit?!,1,Indigo League
1294,59,"Dance, Quaxly! Dance the Blue Medali Dance!!",1,Indigo League
1295,60,Seeing Snow for the First Time! Fue-Fuecoco!,1,Indigo League
1296,61,"Resound, My Soul! Challenging Ryme!",1,Indigo League
1297,62,Me and Fuecoco's Song,1,Indigo League
1298,63,An Ice Battle! Cold-Eyed Grusha!,1,Indigo League
1299,64,A Shadow Creeps Up on Glaseado Mountain,1,Indigo League
1300,65,Liko & Amethio!,1,Indigo League
1301,66,System Intrusion! Crisis at Naranja Academy!,1,Indigo League
1302,67,"Shine, Terastallization! Liko VS Roy!!",1,Indigo League
1303,68,Taking to New Skies! The Brave Olivine!!,1,Indigo League
1304,69,I'm a Pokémon and You're Me?!,1,Indigo League
1305,70,Tinkatink's Hammer Was Not Built In A Day!,1,Indigo League
1306,71,An Encounter at Crystal Pool!,1,Indigo League
1307,72,On the Trail! Search for Kleavor!,1,Indigo League
1308,73,Kleavor the Lone Warrior!,1,Indigo League
1309,74,The Three Explorers!,1,Indigo League
1310,75,"The Future We've Been Entrusted, the Shine of This World",1,Indigo League
1311,76,Wynaut? Sohdayo!,1,Indigo League
1312,77,Ludlow Returns to His Hometown,1,Indigo League
1313,78,A Fierce Fight Against Entei! The Noble Roar of Flame!!,1,Indigo League
1314,79,Over the Top,1,Indigo League
1315,80,Oni-Awesome Pokémon in Area Zero?!,1,Indigo League
1316,81,A Grand Battle! Earth-Gouging Fire,1,Indigo League
1317,82,At the End of the Shining Rainbow,1,Indigo League
1318,83,The Truth Revealed? Amethio's Resolve!,1,Indigo League
1319,84,The Place Where Heaven and Earth Meet,2,Adventures in the Orange Islands
1320,85,Arrival! The Paradise of Laqua,2,Adventures in the Orange Islands
1321,86,The Rising Volt Tacklers VS The Explorers!,2,Adventures in the Orange Islands
1322,87,The Guidance of the Black Rayquaza,2,Adventures in the Orange Islands
1323,88,The White Zygarde Causes Shock Waves,2,Adventures in the Orange Islands
1324,89,At the End of the Adventures,2,Adventures in the Orange Islands
